epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
54,1102.3,1.0553,0.67427,1.0108,0.91895,0.96084,0.9223,0.62604,1.24346,0.60485,1.10623,0.00171906,0.00057302,0.00171906,0.00057302,0.00171906,0.00057302,0.00171906,0.00057302
55,1122.32,1.07108,0.67797,1.02211,0.90878,0.91892,0.91441,0.61802,1.24288,0.61037,1.1118,0.0016611,0.0005537,0.0016611,0.0005537,0.0016611,0.0005537,0.0016611,0.0005537
56,1142.42,1.06392,0.6755,1.02072,0.91337,0.96101,0.92069,0.61833,1.22671,0.62238,1.0962,0.00160337,0.000534456,0.00160337,0.000534456,0.00160337,0.000534456,0.00160337,0.000534456
57,1162.44,1.06323,0.70242,1.01187,0.92568,0.95471,0.92109,0.62431,1.23776,0.61377,1.10171,0.00154592,0.000515308,0.00154592,0.000515308,0.00154592,0.000515308,0.00154592,0.000515308
58,1182.46,1.07822,0.67506,1.0198,0.91633,0.95665,0.92878,0.61571,1.2508,0.62205,1.10416,0.00148882,0.000496274,0.00148882,0.000496274,0.00148882,0.000496274,0.00148882,0.000496274
59,1202.48,1.0624,0.68576,1.01283,0.92505,0.96374,0.94293,0.64452,1.25647,0.5962,1.1042,0.00143212,0.000477373,0.00143212,0.000477373,0.00143212,0.000477373,0.00143212,0.000477373
60,1222.5,1.05652,0.65933,1.01015,0.91849,0.95194,0.92458,0.61897,1.23442,0.60648,1.10558,0.00137587,0.000458624,0.00137587,0.000458624,0.00137587,0.000458624,0.00137587,0.000458624
61,1242.55,1.04807,0.65297,1.02179,0.92515,0.95628,0.93335,0.62809,1.21144,0.60011,1.09981,0.00132014,0.000440046,0.00132014,0.000440046,0.00132014,0.000440046,0.00132014,0.000440046
62,1262.53,1.05459,0.64659,1.023,0.90415,0.9589,0.92681,0.63829,1.21072,0.59349,1.09832,0.00126497,0.000421656,0.00126497,0.000421656,0.00126497,0.000421656,0.00126497,0.000421656
63,1282.59,1.04948,0.66135,1.01552,0.92469,0.96101,0.94706,0.66026,1.20353,0.57793,1.09508,0.00121042,0.000403473,0.00121042,0.000403473,0.00121042,0.000403473,0.00121042,0.000403473
64,1302.67,1.04452,0.64244,1.01614,0.91504,0.95715,0.94264,0.65585,1.22364,0.59222,1.10718,0.00115654,0.000385515,0.00115654,0.000385515,0.00115654,0.000385515,0.00115654,0.000385515
65,1322.75,1.06265,0.64726,1.01549,0.92565,0.95382,0.94271,0.65361,1.23153,0.58909,1.10439,0.0011034,0.000367799,0.0011034,0.000367799,0.0011034,0.000367799,0.0011034,0.000367799
66,1342.82,1.02725,0.6294,1.00696,0.92843,0.95626,0.9442,0.65305,1.26978,0.58984,1.12607,0.00105103,0.000350343,0.00105103,0.000350343,0.00105103,0.000350343,0.00105103,0.000350343
67,1362.9,1.00804,0.63507,1.00683,0.92115,0.9576,0.94563,0.65264,1.22283,0.57542,1.10333,0.000999495,0.000333165,0.000999495,0.000333165,0.000999495,0.000333165,0.000999495,0.000333165
68,1382.9,1.03125,0.63396,1.00606,0.92412,0.95927,0.94739,0.65512,1.22162,0.56998,1.10505,0.000948842,0.000316281,0.000948842,0.000316281,0.000948842,0.000316281,0.000948842,0.000316281
69,1402.98,1.00497,0.62748,0.99805,0.91855,0.95295,0.93431,0.65174,1.21818,0.58697,1.09362,0.000899122,0.000299707,0.000899122,0.000299707,0.000899122,0.000299707,0.000899122,0.000299707
70,1423.1,1.0148,0.62168,1.00325,0.91667,0.95917,0.92954,0.6449,1.20427,0.57762,1.09156,0.000850383,0.000283461,0.000850383,0.000283461,0.000850383,0.000283461,0.000850383,0.000283461
71,1443.14,1.02148,0.62103,0.99346,0.92424,0.95605,0.938,0.65492,1.21085,0.56733,1.0955,0.000802674,0.000267558,0.000802674,0.000267558,0.000802674,0.000267558,0.000802674,0.000267558
72,1463.21,1.01049,0.61006,1.0003,0.91806,0.96227,0.94206,0.65423,1.21986,0.57209,1.10167,0.000756041,0.000252014,0.000756041,0.000252014,0.000756041,0.000252014,0.000756041,0.000252014
73,1483.21,0.99791,0.61618,0.99604,0.91434,0.95673,0.93157,0.64203,1.21726,0.58457,1.09819,0.000710532,0.000236844,0.000710532,0.000236844,0.000710532,0.000236844,0.000710532,0.000236844
74,1503.22,1.02172,0.62357,1.00487,0.91969,0.95548,0.92712,0.64349,1.20499,0.57504,1.08866,0.00066619,0.000222063,0.00066619,0.000222063,0.00066619,0.000222063,0.00066619,0.000222063
75,1523.22,1.02066,0.62434,1.00543,0.91996,0.95677,0.92952,0.64336,1.21765,0.5775,1.09456,0.000623059,0.000207686,0.000623059,0.000207686,0.000623059,0.000207686,0.000623059,0.000207686
76,1543.42,1.02167,0.60867,1.00665,0.91953,0.95955,0.9459,0.652,1.21521,0.56713,1.09951,0.000581183,0.000193728,0.000581183,0.000193728,0.000581183,0.000193728,0.000581183,0.000193728
77,1563.43,1.00969,0.60734,1.00107,0.92142,0.96226,0.94029,0.65242,1.21024,0.56702,1.09487,0.000540602,0.000180201,0.000540602,0.000180201,0.000540602,0.000180201,0.000540602,0.000180201
78,1583.42,1.00382,0.61357,1.0053,0.91991,0.96043,0.932,0.64718,1.21844,0.56549,1.10027,0.000501356,0.000167119,0.000501356,0.000167119,0.000501356,0.000167119,0.000501356,0.000167119
79,1603.43,0.97216,0.60213,0.98908,0.92025,0.95998,0.93975,0.65983,1.21112,0.56801,1.09524,0.000463485,0.000154495,0.000463485,0.000154495,0.000463485,0.000154495,0.000463485,0.000154495
80,1623.42,0.99209,0.61132,0.99326,0.92167,0.96023,0.9355,0.652,1.21466,0.57487,1.09429,0.000427025,0.000142342,0.000427025,0.000142342,0.000427025,0.000142342,0.000427025,0.000142342
81,1643.51,0.98253,0.59936,0.9862,0.91877,0.95805,0.93247,0.64591,1.22016,0.57374,1.09799,0.000392012,0.000130671,0.000392012,0.000130671,0.000392012,0.000130671,0.000392012,0.000130671
82,1663.62,0.97954,0.58458,0.99192,0.92378,0.95501,0.93753,0.65106,1.21764,0.57174,1.10098,0.000358482,0.000119494,0.000358482,0.000119494,0.000358482,0.000119494,0.000358482,0.000119494
83,1683.64,0.97633,0.60375,0.99379,0.92001,0.95995,0.93515,0.65048,1.21225,0.57163,1.09763,0.000326466,0.000108822,0.000326466,0.000108822,0.000326466,0.000108822,0.000326466,0.000108822
84,1703.6,0.98638,0.5807,0.99297,0.91986,0.95873,0.93429,0.64932,1.2152,0.56799,1.09628,0.000295998,9.86659e-05,0.000295998,9.86659e-05,0.000295998,9.86659e-05,0.000295998,9.86659e-05
85,1723.54,0.96037,0.59657,0.99088,0.91831,0.96141,0.93098,0.64645,1.20984,0.56845,1.09778,0.000267106,8.90352e-05,0.000267106,8.90352e-05,0.000267106,8.90352e-05,0.000267106,8.90352e-05
86,1743.63,0.98425,0.59982,0.99002,0.92011,0.96022,0.93169,0.64671,1.21907,0.57165,1.09661,0.000239819,7.99397e-05,0.000239819,7.99397e-05,0.000239819,7.99397e-05,0.000239819,7.99397e-05
87,1763.58,0.96254,0.5906,0.9819,0.92092,0.96115,0.93222,0.64584,1.212,0.56748,1.09751,0.000214165,7.13883e-05,0.000214165,7.13883e-05,0.000214165,7.13883e-05,0.000214165,7.13883e-05
88,1783.54,1.00009,0.60187,0.99202,0.91994,0.96088,0.93222,0.64371,1.219,0.56839,1.10128,0.000190168,6.33893e-05,0.000190168,6.33893e-05,0.000190168,6.33893e-05,0.000190168,6.33893e-05
89,1803.44,0.97773,0.58504,0.98883,0.9198,0.96072,0.93206,0.64513,1.21805,0.56336,1.1021,0.000167852,5.59508e-05,0.000167852,5.59508e-05,0.000167852,5.59508e-05,0.000167852,5.59508e-05
90,1823.46,0.99052,0.60358,0.99442,0.91931,0.96135,0.93033,0.64618,1.21823,0.56593,1.09487,0.00014724,4.908e-05,0.00014724,4.908e-05,0.00014724,4.908e-05,0.00014724,4.908e-05
91,1843.42,0.99445,0.62167,0.99942,0.92195,0.95507,0.94354,0.64284,1.24032,0.58645,1.1026,0.000128351,4.27838e-05,0.000128351,4.27838e-05,0.000128351,4.27838e-05,0.000128351,4.27838e-05
92,1862.86,0.9814,0.62427,0.99143,0.91567,0.95469,0.93581,0.64015,1.22897,0.58314,1.10066,0.000111205,3.70683e-05,0.000111205,3.70683e-05,0.000111205,3.70683e-05,0.000111205,3.70683e-05
93,1882.28,0.98042,0.6229,0.9966,0.918,0.95351,0.93793,0.64409,1.22197,0.5818,1.09655,9.58175e-05,3.19392e-05,9.58175e-05,3.19392e-05,9.58175e-05,3.19392e-05,9.58175e-05,3.19392e-05
94,1901.75,0.97204,0.61242,0.99372,0.9178,0.9543,0.93773,0.64578,1.22856,0.58447,1.09637,8.22045e-05,2.74015e-05,8.22045e-05,2.74015e-05,8.22045e-05,2.74015e-05,8.22045e-05,2.74015e-05
95,1921.21,0.97906,0.62463,0.98655,0.91842,0.95479,0.93581,0.64402,1.22926,0.58163,1.0957,7.03793e-05,2.34598e-05,7.03793e-05,2.34598e-05,7.03793e-05,2.34598e-05,7.03793e-05,2.34598e-05
96,1940.67,0.96641,0.60525,0.98748,0.91758,0.9564,0.93453,0.64654,1.22639,0.57855,1.09576,6.03535e-05,2.01178e-05,6.03535e-05,2.01178e-05,6.03535e-05,2.01178e-05,6.03535e-05,2.01178e-05
97,1960.12,0.97295,0.60277,0.99747,0.91877,0.9557,0.93775,0.64811,1.22375,0.58205,1.09494,5.21371e-05,1.7379e-05,5.21371e-05,1.7379e-05,5.21371e-05,1.7379e-05,5.21371e-05,1.7379e-05
98,1979.6,0.98875,0.61047,1.00039,0.91684,0.95618,0.93266,0.64407,1.22243,0.57789,1.09786,4.57381e-05,1.5246e-05,4.57381e-05,1.5246e-05,4.57381e-05,1.5246e-05,4.57381e-05,1.5246e-05
99,1999.01,0.96968,0.60637,0.9905,0.91737,0.95566,0.93618,0.6481,1.22294,0.57813,1.09564,4.11629e-05,1.3721e-05,4.11629e-05,1.3721e-05,4.11629e-05,1.3721e-05,4.11629e-05,1.3721e-05
100,2018.4,0.95812,0.59105,0.99628,0.91254,0.95783,0.9291,0.64256,1.21893,0.57812,1.09598,3.84159e-05,1.28053e-05,3.84159e-05,1.28053e-05,3.84159e-05,1.28053e-05,3.84159e-05,1.28053e-05
