epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,5623.22,1.11317,0.58521,1.07216,0.90284,0.90255,0.93223,0.60239,1.36093,0.58485,1.20545,0.00026,0.00026,0.00026
82,6251.72,1.09197,0.57948,1.07405,0.90974,0.90332,0.93458,0.60497,1.35771,0.57244,1.20385,0.000247625,0.000247625,0.000247625
83,6873.7,1.10013,0.58035,1.07011,0.88239,0.90666,0.93747,0.60446,1.33092,0.57546,1.21085,0.00023525,0.00023525,0.00023525
84,7506.53,1.1034,0.57563,1.084,0.88608,0.90188,0.93413,0.60619,1.36233,0.57824,1.21898,0.000222875,0.000222875,0.000222875
85,8126.29,1.08588,0.57755,1.08478,0.89994,0.89549,0.93861,0.60824,1.34008,0.56465,1.21128,0.0002105,0.0002105,0.0002105
86,8747.65,1.08462,0.58155,1.06961,0.90167,0.90306,0.93713,0.60757,1.36023,0.57757,1.20636,0.000198125,0.000198125,0.000198125
87,9366.45,1.09126,0.57423,1.07238,0.89573,0.90484,0.93463,0.60852,1.35242,0.56889,1.21704,0.00018575,0.00018575,0.00018575
88,9987.09,1.08442,0.56675,1.07356,0.90868,0.88846,0.93548,0.60946,1.34724,0.57106,1.21434,0.000173375,0.000173375,0.000173375
89,10611.7,1.07865,0.57087,1.06711,0.90937,0.89399,0.93955,0.60616,1.35216,0.57254,1.20548,0.000161,0.000161,0.000161
90,11234.8,1.0679,0.55546,1.06045,0.91835,0.89082,0.93666,0.61322,1.34946,0.57061,1.20975,0.000148625,0.000148625,0.000148625
91,11853.8,1.11113,0.5531,1.11561,0.89529,0.88994,0.93033,0.59541,1.37392,0.59228,1.21558,0.00013625,0.00013625,0.00013625
92,12475.6,1.11109,0.54536,1.1175,0.88977,0.89364,0.92951,0.59911,1.37283,0.59061,1.22086,0.000123875,0.000123875,0.000123875
93,13090.6,1.0844,0.53911,1.10935,0.90845,0.88811,0.93416,0.60918,1.35707,0.5842,1.21038,0.0001115,0.0001115,0.0001115
94,13706.7,1.08547,0.53192,1.10448,0.9057,0.88681,0.9334,0.60994,1.34077,0.57665,1.20826,9.9125e-05,9.9125e-05,9.9125e-05
95,14321.6,1.06881,0.52389,1.09718,0.90675,0.8955,0.93631,0.60962,1.34727,0.57947,1.20887,8.675e-05,8.675e-05,8.675e-05
96,14950.4,1.07548,0.5193,1.09532,0.9104,0.90055,0.94005,0.61943,1.35315,0.57913,1.20862,7.4375e-05,7.4375e-05,7.4375e-05
97,15568,1.06477,0.51816,1.10372,0.92098,0.89378,0.93638,0.6101,1.35339,0.57463,1.20845,6.2e-05,6.2e-05,6.2e-05
98,16184.1,1.06567,0.52075,1.0842,0.91122,0.90183,0.937,0.60977,1.3492,0.57273,1.20406,4.9625e-05,4.9625e-05,4.9625e-05
99,16800.4,1.06451,0.51354,1.0964,0.91264,0.89597,0.93734,0.60783,1.34814,0.56922,1.20317,3.725e-05,3.725e-05,3.725e-05
100,17417.6,1.0622,0.52015,1.09357,0.90554,0.88943,0.93598,0.60761,1.34383,0.56863,1.20439,2.4875e-05,2.4875e-05,2.4875e-05
